交易日,当日收益率,累计收益率,无限制收益率,指数累计,控仓收益_5,控仓累计_5,仓位控制_20,控仓收益_20,控仓累计_20,控仓收益_30,控仓累计_30,控仓收益_60,控仓累计_60
2020-10-23,0.0,0.0,0.0,2.22,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.2300000000000002,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-27,0.0,0.0,0.0,2.6000000000000005,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-28,0.0,0.0,0.0,3.3300000000000005,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-29,0.0,0.0,0.0,2.630000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-30,0.0,0.0,0.0,2.6100000000000008,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.78,0.78,0.78,0.8500000000000008,0.78,0.78,1,0.78,0.78,0.78,0.78,0.78,0.78
2020-11-03,0.3,1.08,0.3,-0.6899999999999993,0.3,1.08,1,0.3,1.08,0.3,1.08,0.3,1.08
2020-11-04,0.06,1.14,0.1,-0.9299999999999993,0.0,1.08,1,0.06,1.1400000000000001,0.06,1.1400000000000001,0.06,1.1400000000000001
2020-11-05,0.3,1.44,0.3,-0.5999999999999992,0.0,1.08,1,0.3,1.4400000000000002,0.3,1.4400000000000002,0.3,1.4400000000000002
2020-11-06,0.0,1.44,0.0,0.36000000000000076,0.0,1.08,0,0.0,1.4400000000000002,0.0,1.4400000000000002,0.0,1.4400000000000002
2020-11-09,0.84,2.28,1.4,-0.3799999999999992,0.0,1.08,0,0.0,1.4400000000000002,0.84,2.2800000000000002,0.84,2.2800000000000002
2020-11-10,-0.32,1.96,-0.32,0.8200000000000007,-0.32,0.76,0,-0.0,1.4400000000000002,-0.32,1.9600000000000002,-0.32,1.9600000000000002
2020-11-11,-0.35,1.61,-0.59,0.35000000000000075,-0.0,0.76,0,-0.0,1.4400000000000002,-0.35,1.6100000000000003,-0.35,1.6100000000000003
2020-11-12,0.8,2.41,0.8,-0.17999999999999927,0.0,0.76,1,0.8,2.24,0.8,2.41,0.8,2.41
2020-11-13,0.3,2.71,0.3,0.47000000000000075,0.0,0.76,0,0.0,2.24,0.3,2.71,0.3,2.71
2020-11-16,-0.2,2.51,-0.25,1.4200000000000008,-0.2,0.56,0,-0.0,2.24,-0.2,2.51,-0.2,2.51
2020-11-17,-0.44,2.07,-0.44,1.1400000000000008,-0.44,0.12000000000000005,0,-0.0,2.24,-0.44,2.07,-0.44,2.07
2020-11-18,1.5,3.57,1.5,0.18000000000000083,0.0,0.12000000000000005,1,1.5,3.74,1.5,3.57,1.5,3.57
2020-11-19,-0.12,3.45,-0.12,0.06000000000000083,-0.0,0.12000000000000005,1,-0.12,3.62,-0.12,3.4499999999999997,-0.12,3.4499999999999997
2020-11-20,0.64,4.09,0.64,-0.2199999999999992,0.0,0.12000000000000005,1,0.64,4.26,0.0,3.4499999999999997,0.64,4.09
2020-11-23,0.3,4.39,0.3,-0.009999999999999204,0.0,0.12000000000000005,1,0.3,4.56,0.0,3.4499999999999997,0.3,4.39
2020-11-24,0.75,5.14,0.94,0.45000000000000084,0.0,0.12000000000000005,0,0.0,4.56,0.75,4.199999999999999,0.75,5.14
2020-11-25,0.0,5.14,0.0,0.8500000000000009,0.0,0.12000000000000005,0,0.0,4.56,0.0,4.199999999999999,0.0,5.14
2020-11-26,0.06,5.2,0.06,0.5400000000000009,0.06,0.18000000000000005,0,0.0,4.56,0.06,4.259999999999999,0.06,5.199999999999999
2020-11-27,-0.11,5.09,-0.14,0.2100000000000009,-0.0,0.18000000000000005,1,-0.11,4.449999999999999,-0.0,4.259999999999999,-0.11,5.089999999999999
2020-11-30,0.42,5.51,0.42,-0.11999999999999911,0.0,0.18000000000000005,1,0.42,4.869999999999999,0.0,4.259999999999999,0.42,5.509999999999999
2020-12-01,0.4,5.91,0.5,-0.10999999999999911,0.0,0.18000000000000005,1,0.4,5.27,0.0,4.259999999999999,0.4,5.909999999999999
2020-12-02,0.0,5.91,0.0,0.4000000000000009,0.0,0.18000000000000005,0,0.0,5.27,0.0,4.259999999999999,0.0,5.909999999999999
