交易日,当日收益率,累计收益率,指数累计,控仓收益_5,控仓累计_5,控仓收益_20,仓位控制_20,控仓累计_20,控仓收益_30,控仓累计_30,控仓收益_60,控仓累计_60
2021-02-01,-0.12,2.1,-4.4,-0.0,2.5499999999999994,-0.0,0,1.38,-0.0,1.78,-0.0,1.4500000000000002
2021-02-02,-0.12,1.98,-4.19,-0.0,2.5499999999999994,-0.0,0,1.38,-0.0,1.78,-0.0,1.4500000000000002
2021-02-03,0.12,2.1,-3.9300000000000006,0.0,2.5499999999999994,0.0,0,1.38,0.0,1.78,0.0,1.4500000000000002
2021-02-04,0.48,2.58,-4.680000000000001,0.0,2.5499999999999994,0.0,0,1.38,0.0,1.78,0.0,1.4500000000000002
2021-02-05,0.36,2.94,-6.460000000000001,0.0,2.5499999999999994,0.0,0,1.38,0.0,1.78,0.0,1.4500000000000002
2021-02-08,-0.22,2.72,-8.07,-0.0,2.5499999999999994,-0.0,0,1.38,-0.0,1.78,-0.0,1.4500000000000002
2021-02-09,0.9,3.62,-7.98,0.0,2.5499999999999994,0.0,0,1.38,0.0,1.78,0.0,1.4500000000000002
2021-02-10,0.0,3.62,-6.12,0.0,2.5499999999999994,0.0,1,1.38,0.0,1.78,0.0,1.4500000000000002
2021-02-18,0.0,3.62,-5.36,0.0,2.5499999999999994,0.0,1,1.38,0.0,1.78,0.0,1.4500000000000002
2021-02-19,-0.12,3.5,-3.99,-0.0,2.5499999999999994,-0.12,1,1.2599999999999998,-0.0,1.78,-0.0,1.4500000000000002
2021-02-22,0.0,3.5,-2.4800000000000004,0.0,2.5499999999999994,0.0,1,1.2599999999999998,0.0,1.78,0.0,1.4500000000000002
2021-02-23,0.0,3.5,-1.2600000000000005,0.0,2.5499999999999994,0.0,1,1.2599999999999998,0.0,1.78,0.0,1.4500000000000002
2021-02-24,-0.96,2.54,-1.9600000000000004,-0.96,1.5899999999999994,-0.96,1,0.2999999999999998,-0.0,1.78,-0.0,1.4500000000000002
2021-02-25,-0.82,1.72,-2.7300000000000004,-0.82,0.7699999999999995,-0.0,0,0.2999999999999998,-0.0,1.78,-0.0,1.4500000000000002
2021-02-26,1.03,2.75,-3.3600000000000003,0.0,0.7699999999999995,0.0,0,0.2999999999999998,0.0,1.78,0.0,1.4500000000000002
2021-03-01,1.12,3.87,-3.6100000000000003,0.0,0.7699999999999995,0.0,0,0.2999999999999998,0.0,1.78,0.0,1.4500000000000002
2021-03-02,0.0,3.87,-2.3900000000000006,0.0,0.7699999999999995,0.0,1,0.2999999999999998,0.0,1.78,0.0,1.4500000000000002
2021-03-03,0.6,4.47,-2.4200000000000004,0.6,1.3699999999999994,0.6,1,0.8999999999999998,0.0,1.78,0.0,1.4500000000000002
2021-03-04,0.3,4.77,-1.4600000000000004,0.3,1.6699999999999995,0.3,1,1.1999999999999997,0.3,2.08,0.0,1.4500000000000002
2021-03-05,0.35,5.12,-2.1700000000000004,0.35,2.0199999999999996,0.35,1,1.5499999999999998,0.35,2.43,0.0,1.4500000000000002
2021-03-08,-0.66,4.46,-1.8400000000000003,-0.66,1.3599999999999994,-0.66,1,0.8899999999999998,-0.66,1.77,-0.0,1.4500000000000002
2021-03-09,1.22,5.68,-2.3600000000000003,1.22,2.579999999999999,0.0,0,0.8899999999999998,1.22,2.99,0.0,1.4500000000000002
2021-03-10,1.06,6.74,-2.8400000000000003,1.06,3.6399999999999992,0.0,0,0.8899999999999998,0.0,2.99,0.0,1.4500000000000002
2021-03-11,0.38,7.12,-1.8800000000000003,0.38,4.02,0.38,1,1.2699999999999998,0.38,3.37,0.0,1.4500000000000002
2021-03-12,0.0,7.12,-1.0800000000000003,0.0,4.02,0.0,1,1.2699999999999998,0.0,3.37,0.0,1.4500000000000002
2021-03-15,-0.02,7.1,-0.7700000000000002,-0.02,3.9999999999999996,-0.02,1,1.2499999999999998,-0.02,3.35,-0.02,1.4300000000000002
2021-03-16,0.78,7.88,-0.5300000000000002,0.78,4.779999999999999,0.78,1,2.03,0.78,4.13,0.78,2.21
